ip,hostname,bogon,anycast,city,region,country,country_name,isEU,loc,org,postal,timezone,asn_id,asn_asn,asn_domain,asn_route,asn_type,company_name,company_domain,company_type,carrier_name,carrier_mcc,carrier_mnc,privacy_vpn,privacy_proxy,privacy_tor,privacy_relay,privacy_hosting,privacy_service,abuse_address,abuse_country,abuse_country_name,abuse_email,abuse_name,abuse_network,abuse_phone,domains_total
43.136.98.30,,false,false,Shenzhen,Guangdong,CN,China,false,"22.5455,114.0683",AS45090 Shenzhen Tencent Computer Systems Company Limited,,Asia/Shanghai,,,,,,,,,,,,,,,,,,,,,,,,,
94.142.138.60,,false,false,Amsterdam,North Holland,NL,Netherlands,true,"52.3740,4.8897",AS211409 Shelter LLC,1012,Europe/Amsterdam,,,,,,,,,,,,,,,,,,,,,,,,,
167.235.146.247,static.247.146.235.167.clients.your-server.de,false,false,Nürnberg,Bavaria,DE,Germany,true,"49.4542,11.0775",AS24940 Hetzner Online GmbH,90402,Europe/Berlin,,,,,,,,,,,,,,,,,,,,,,,,,
103.46.185.9,,false,false,Hong Kong,Central and Western,HK,Hong Kong,false,"22.2783,114.1747",AS150452 LANDUPS LIMITED,,Asia/Hong_Kong,,,,,,,,,,,,,,,,,,,,,,,,,
167.172.136.176,,false,false,North Bergen,New Jersey,US,United States,false,"40.8043,-74.0121","AS14061 DigitalOcean, LLC",07047,America/New_York,,,,,,,,,,,,,,,,,,,,,,,,,
3.67.204.148,ec2-3-67-204-148.eu-central-1.compute.amazonaws.com,false,false,Frankfurt am Main,Hesse,DE,Germany,true,"50.1155,8.6842","AS16509 Amazon.com, Inc.",60306,Europe/Berlin,,,,,,,,,,,,,,,,,,,,,,,,,
103.113.71.74,vm1745081.stark-industries.solutions,false,false,Frankfurt am Main,Hesse,DE,Germany,true,"50.1155,8.6842",AS44477 STARK INDUSTRIES SOLUTIONS LTD,60306,Europe/Berlin,,,,,,,,,,,,,,,,,,,,,,,,,
139.162.143.116,139-162-143-116.ip.linodeusercontent.com,false,false,Frankfurt am Main,Hesse,DE,Germany,true,"50.1155,8.6842",AS63949 Akamai Connected Cloud,60306,Europe/Berlin,,,,,,,,,,,,,,,,,,,,,,,,,
172.96.166.109,,false,false,Secaucus,New Jersey,US,United States,false,"40.7895,-74.0565",AS63018 Dedicated.com,07094,America/New_York,,,,,,,,,,,,,,,,,,,,,,,,,
154.219.2.167,,false,false,Tokyo,Tokyo,JP,Japan,false,"35.6895,139.6917",AS211392 DREAM CLOUD INNOVATION LIMITED,101-8656,Asia/Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,
185.234.216.64,,false,false,Moscow,Moscow,RU,Russia,false,"55.7522,37.6156",AS57523 Chang Way Technologies Co. Limited,102136,Europe/Moscow,,,,,,,,,,,,,,,,,,,,,,,,,
94.131.98.34,vm1610977.stark-industries.solutions,false,false,Stockholm,Stockholm,SE,Sweden,true,"59.3294,18.0687",AS44477 STARK INDUSTRIES SOLUTIONS LTD,100 05,Europe/Stockholm,,,,,,,,,,,,,,,,,,,,,,,,,
203.131.220.25,,false,false,Bangkok,Bangkok,TH,Thailand,false,"13.7540,100.5014",AS37992 Thammasat University in thailand,10200,Asia/Bangkok,,,,,,,,,,,,,,,,,,,,,,,,,
